SNRs,Gid,addrs,bssid,time
"[40, 40, 39]",1,"['ac:e0:10:7f:c1:a1', 'ac:e0:10:7f:a6:f9', 'a8:a7:95:20:0e:ad']",19:64:72:7e:a8:70,2016-07-14T11:45:56.798516
"[36, 37, 40]",2,"['48:e2:44:b1:2d:3b', '48:e2:44:92:3a:25', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:56.800196
"[33, 36, 34]",3,"['ac:e0:10:7f:69:db', '48:e2:44:b1:2d:3b', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:56.803420
"[34, 35, 35]",4,"['ac:e0:10:7f:69:db', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:56.811649
"[34, 35, 34]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:56.812770
[35],6,['ac:e0:10:7f:69:db'],18:64:72:7e:a8:70,2016-07-14T11:45:56.816288
"[37, 41, 36]",7,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:56.819631
"[34, 37, 36]",8,"['48:e2:44:92:98:b1', 'ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:56.824385
"[34, 41, 35]",9,"['48:e2:44:92:98:b1', 'ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:56.825859
"[36, 36, 42]",10,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:67:f5', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:56.831596
"[34, 44, 42]",11,"['ac:e0:10:7f:69:db', 'ac:e0:10:7f:c1:a1', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:56.840211
"[33, 40, 38]",12,"['ac:e0:10:7f:69:db', 'ac:e0:10:7f:c1:a1', 'a8:a7:95:20:0e:ad']",19:64:72:7e:a8:70,2016-07-14T11:45:56.848681
"[38, 36, 35]",13,"['48:e2:44:92:3a:25', '48:e2:44:b1:2d:3b', '48:e2:44:b1:2c:4f']",19:64:72:7e:a8:70,2016-07-14T11:45:56.855810
"[34, 40, 40]",14,"['ac:e0:10:7f:b7:a1', 'ac:e0:10:7f:a6:e9', 'ac:e0:10:7f:a6:f9']",19:64:72:7e:a8:70,2016-07-14T11:45:56.866018
"[37, 41, 36]",7,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:56.884697
"[36, 38, 34]",15,"['ac:e0:10:7f:b5:2d', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:56.889835
"[34, 35, 41]",16,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b6:3b']",19:64:72:7e:a8:70,2016-07-14T11:45:56.899544
"[36, 37, 36]",17,"['48:e2:44:b1:2d:3b', '48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:56.910022
"[44, 35, 41]",18,"['ac:e0:10:7f:c1:a1', 'ac:e0:10:7f:a6:e5', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:56.920397
"[34, 34, 38]",19,"['ac:e0:10:7f:69:db', '48:e2:44:92:98:b1', 'a8:a7:95:20:0e:ad']",19:64:72:7e:a8:70,2016-07-14T11:45:56.930917
"[41, 35, 36]",20,"['ac:e0:10:7f:b6:3b', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b5:2d']",19:64:72:7e:a8:70,2016-07-14T11:45:56.941379
"[36, 37, 35]",17,"['48:e2:44:b1:2d:3b', '48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:56.951454
"[35, 37, 36]",17,"['48:e2:44:b1:2d:3b', '48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:56.957481
"[34, 40, 35]",21,"['48:e2:44:92:98:b1', 'ac:e0:10:7f:a6:f9', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:56.961053
"[36, 35, 40]",22,"['48:e2:44:b1:2d:3b', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:c1:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:56.971296
"[37, 36, 40]",23,"['48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:56.980962
"[34, 38, 42]",24,"['ac:e0:10:7f:69:db', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:56.991245
"[36, 41, 35]",25,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:57.002659
"[40, 35, 41]",26,"['ac:e0:10:7f:a6:f9', 'ac:e0:10:7f:a6:e5', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:57.022430
"[37, 36, 40]",27,"['48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5', 'ac:e0:10:7f:c1:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.032713
"[41, 34, 34]",28,"['ac:e0:10:7f:b6:3b', '48:e2:44:92:98:b1', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.042890
"[36, 36, 35]",29,"['ac:e0:10:7f:b5:2d', '48:e2:44:b1:2d:3b', '48:e2:44:b1:2c:4f']",19:64:72:7e:a8:70,2016-07-14T11:45:57.053708
"[36, 40, 35]",30,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:f9', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:57.061533
"[34, 34, 41]",31,"['48:e2:44:92:98:b1', 'ac:e0:10:7f:b7:a1', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:57.072268
"[36, 37, 36]",17,"['48:e2:44:b1:2d:3b', '48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:57.085076
"[33, 39, 37]",32,"['ac:e0:10:7f:69:db', 'ac:e0:10:7f:a6:e9', 'a8:a7:95:20:0e:ad']",19:64:72:7e:a8:70,2016-07-14T11:45:57.095201
"[37, 36, 40]",33,"['48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5', 'ac:e0:10:7f:a6:f9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.106316
"[34, 35, 35]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.111950
"[41, 40, 36]",34,"['ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:c1:a1', '48:e2:44:b1:2d:3b']",19:64:72:7e:a8:70,2016-07-14T11:45:57.124291
"[37, 36, 40]",23,"['48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.134050
"[37, 35, 40]",23,"['48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.137539
"[34, 38, 42]",24,"['ac:e0:10:7f:69:db', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:57.140829
"[37, 40, 35]",30,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:f9', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:57.151129
"[34, 40, 36]",35,"['ac:e0:10:7f:69:db', 'ac:e0:10:7f:a6:e9', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:57.161921
"[33, 35, 40]",36,"['ac:e0:10:7f:69:db', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.165898
"[37, 35, 38]",37,"['48:e2:44:92:3a:25', '48:e2:44:b1:2d:3b', 'a8:a7:95:20:0e:ad']",19:64:72:7e:a8:70,2016-07-14T11:45:57.176220
"[37, 35, 42]",38,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:e5', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:57.186629
"[41, 44, 39]",39,"['ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:c1:a1', 'ac:e0:10:7f:a6:f9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.197026
"[34, 35, 34]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.209983
"[36, 40, 35]",30,"['ac:e0:10:7f:b5:2d', 'ac:e0:10:7f:a6:f9', 'ac:e0:10:7f:a6:e5']",19:64:72:7e:a8:70,2016-07-14T11:45:57.229241
"[34, 34, 40]",40,"['48:e2:44:92:98:b1', 'ac:e0:10:7f:b7:a1', 'ac:e0:10:7f:c1:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.233535
"[37, 37, 35]",17,"['48:e2:44:b1:2d:3b', '48:e2:44:92:3a:25', 'ac:e0:10:7f:67:f5']",19:64:72:7e:a8:70,2016-07-14T11:45:57.246435
"[34, 38, 42]",24,"['ac:e0:10:7f:69:db', 'a8:a7:95:20:0e:ad', 'ac:e0:10:7f:b6:03']",19:64:72:7e:a8:70,2016-07-14T11:45:57.256825
"[34, 41, 40]",41,"['48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b6:3b', 'ac:e0:10:7f:a6:e9']",19:64:72:7e:a8:70,2016-07-14T11:45:57.272245
"[34, 35, 34]",5,"['48:e2:44:92:98:b1', '48:e2:44:b1:2c:4f', 'ac:e0:10:7f:b7:a1']",19:64:72:7e:a8:70,2016-07-14T11:45:57.275446
